true_label,predicted_label
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,no
1,it's impossible to say
1,neutral
1,yes
0,it's impossible to say
1,yes
1,it's impossible to say
1,neutral
1,neutral
1,neutral
1,yes
1,neutral
1,neutral
1,no
1,it's impossible to say
1,it's impossible to say
1,no
1,neutral
1,it's impossible to say
1,no
1,neutral
0,yes
1,no
1,neutral
1,it's impossible to say
1,it's impossible to say
0,no
1,it's impossible to say
0,neutral
0,no
1,neutral
1,neutral
1,no
1,neutral
1,neutral
1,neutral
1,neutral
0,it's impossible to say
1,neutral
0,yes
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,it's impossible to say
1,it's impossible to say
1,neutral
1,it's impossible to say
1,neutral
1,neutral
0,yes
0,it's impossible to say
0,neutral
0,yes
1,neutral
1,neutral
1,yes
1,neutral
1,no
1,it's impossible to say
0,it's impossible to say
1,it's impossible to say
1,yes
1,yes
1,neutral
1,neutral
1,neutral
1,it's impossible to say
1,neutral
1,neutral
1,it's impossible to say
1,it's impossible to say
0,neutral
0,neutral
0,neutral
1,neutral
1,it's impossible to say
1,neutral
0,it's impossible to say
0,yes
1,no
1,neutral
0,it's impossible to say
1,yes
1,yes
0,yes
1,it's impossible to say
1,no
0,it's impossible to say
1,it's impossible to say
0,it's impossible to say
1,neutral
1,neutral
0,neutral
1,neutral
1,neutral
1,neutral
1,neutral
0,yes
0,it's impossible to say
0,neutral
0,neutral
0,neutral
0,it's impossible to say
0,it is not possible to tell
1,neutral
1,it's impossible to say
0,it is not possible to tell
1,neutral
0,neutral
1,neutral
0,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
1,neutral
0,neutral
1,neutral
1,neutral
1,neutral
1,it's impossible to say
0,yes
1,neutral
1,neutral
1,neutral
1,neutral
1,it's impossible to say
1,neutral
0,yes
0,neutral
0,yes
0,yes
0,yes
1,neutral
1,neutral
0,it's impossible to say
1,neutral
1,it's impossible to say
1,it's impossible to say
1,neutral
1,neutral
0,neutral
0,yes
1,it's impossible to say
1,it is not possible to tell
1,it is not possible to tell
0,it's impossible to say
0,neutral
